date,open,high,low,close,adj_close,volume,return_1d,return_7d,abs_return_1d,volatility_7,volume_change,high_low_range,ma_7,ma_30,ma_ratio,price_usd,active_addresses,tx_count,hash_rate,supply_current,fee_usd,difficulty,miner_revenue_usd,estimated_transaction_volume_usd,price_usd_change,active_addresses_change,tx_count_change,hash_rate_change,difficulty_change,fee_usd_change,miner_revenue_usd_change,supply_current_change,estimated_transaction_volume_usd_change,event_today,event_window_3d,event_window_7d,event_window_14d,event_name,event_type,region,severity,volume_change_high,abs_return_1d_high,volatility_7_high,high_low_range_high,active_addresses_change_high,tx_count_change_high,fee_usd_change_high,miner_revenue_usd_change_high,hash_rate_change_high,difficulty_change_high,estimated_transaction_volume_usd_change_high,target_next_day_up
2015-07-10,269.156005859375,294.59100341796875,268.802001953125,284.8940124511719,284.8940124511719,100390000,0.05818865723357458,0.1114085188159748,0.05818865723357458,0.026942294355061264,1.4909928240350165,0.09581432664860408,270.42042759486606,251.56819966634114,1.0749388354868736,285.558780829924,319210.0,190131.0,378191.27230166,14369214.76675142,11767.49904509,49402014931.2275,1249167.49904509,121962200.389398,0.058878886426731336,-0.04245234909797757,-0.02491422593069348,0.15789473684210686,0.0,0.05473280193176522,0.3142434416616271,0.0002680057215738163,0.7761599966079371,0,0,0,0,None,None,None,None,1,1,0,1,0,0,0,1,1,1,1,1.0
2015-07-11,284.8800048828125,298.5060119628906,283.5299987792969,293.114990234375,293.114990234375,41109900,0.028856267327177054,0.12353673863384329,0.028856267327177054,0.027419113098594492,-0.5904980575754557,0.052569548325282586,275.02457101004467,253.68186594645184,1.0841317726198763,293.917453828171,321077.0,186958.0,365703.823777367,14372914.76669132,11603.0037640396,49402014931.2275,1179775.00376404,66906355.1911232,0.02927128689215608,0.005848814260204893,-0.016688493722749054,-0.03301887018252625,0.0,-0.013978780063639396,-0.05555099322876733,0.0002574949292608597,-0.4514172835722363,0,0,0,0,None,None,None,None,0,0,0,0,0,0,0,0,0,1,0,1.0
2015-07-12,293.1400146484375,314.3940124511719,292.5050048828125,310.86700439453125,310.86700439453125,56405000,0.06056331048085162,0.1432590968956946,0.06056331048085162,0.03087304961214234,0.3720539334807431,0.07467082784522215,280.5894295828683,256.3780329386393,1.0944363148695493,311.481879894798,313443.0,208628.0,342767.691987456,14376289.76669132,14062.9933788728,51076366303.4819,1187913.99337887,81531673.5924484,0.05975972450038802,-0.0237762281321926,0.1159083858406702,-0.06271777952169855,0.03389237007003176,0.21201317045653956,0.006898764246455968,0.00023481667113345317,0.21859385942556342,0,0,0,0,None,None,None,None,1,1,0,1,0,1,1,0,0,1,0,0.0
2015-07-13,310.8269958496094,310.947998046875,281.010986328125,292.0539855957031,292.0539855957031,62053900,-0.060517901652090145,0.08558148504209884,0.060517901652090145,0.042584129557945286,0.10014892296782207,0.09631406576163266,283.8785705566406,258.36643269856773,1.098744010944477,292.649223845704,299508.0,158460.0,375774.951215878,14379989.76669129,10782.0823447055,51076366303.4819,1315092.08234471,80289251.5215968,-0.06046148191816059,-0.044457844009915704,-0.2404662844872213,0.09629629629629721,0.0,-0.2333010437945805,0.10706001417164734,0.0002573682125233123,-0.015238520394688315,0,0,0,0,None,None,None,None,0,1,1,1,0,0,0,1,1,1,0,0.0
2015-07-14,292.03399658203125,296.1470031738281,286.63800048828125,287.4639892578125,287.4639892578125,28727200,-0.015716259884378525,0.07985135051634917,0.015716259884378525,0.04309839820363022,-0.5370605231903233,0.03256128668867438,286.915283203125,260.16379903157554,1.102825544026987,287.740951490357,288951.0,124862.0,365618.871453287,14383589.76669119,8729.0516944488,51076366303.4819,1103504.05169445,69699575.5230552,-0.016771861858532744,-0.03524780640250014,-0.21202827211914677,-0.027027027027026196,0.0,-0.19041133100461183,-0.16089217895146513,0.0002503478832953654,-0.13189406798359704,0,0,0,0,None,None,None,None,0,0,1,0,0,0,0,0,0,1,0,0.0
2015-07-15,288.0450134277344,293.24798583984375,285.36700439453125,285.8290100097656,285.8290100097656,27486600,-0.005687596739571199,0.055557014399617355,0.005687596739571199,0.04348974787000552,-0.04318555236848698,0.027360242593783713,289.0644269670759,261.7973327636719,1.1041534453982327,285.922885447107,268772.0,112163.0,388470.050919117,14387414.76669114,7672.5030059464,51076366303.4819,1152154.50300595,59551262.7790171,-0.006318412564611853,-0.06983537001083229,-0.10170428152680555,0.06249999999999867,0.0,-0.12103819813259997,0.04408724302987044,0.0002659280514805129,-0.14560078261425347,0,0,0,0,None,None,None,None,0,0,1,0,0,0,0,0,0,1,0,0.0
2015-07-16,286.0419921875,291.1830139160156,275.239990234375,278.0889892578125,278.0889892578125,49482600,-0.027079199384585473,0.03291259652079104,0.027079199384585473,0.04536635301806531,0.8002444827661479,0.05573665446711755,290.33028302873885,262.7037989298503,1.1051621035227803,278.532749269433,278082.0,116060.0,340228.672046808,14390764.76669114,8023.5266859396,51076366303.4819,1036399.52668594,75260531.9032055,-0.02584660603895972,0.03463902489842696,0.034744077815322294,-0.1241830065359486,0.0,0.04575086900860725,-0.10046827575469042,0.00023284238720600037,0.2637940555934537,0,0,0,0,None,None,None,None,1,0,1,1,0,0,0,0,0,1,1,1.0
2015-07-17,278.09100341796875,280.2799987792969,272.0429992675781,279.47198486328125,279.47198486328125,27591400,0.00497321238485493,-0.019031735841833153,0.00497321238485493,0.039093680467309384,-0.4424019756439638,0.029619798592831856,289.5557076590402,263.7100652058919,1.0980077966799229,280.064724722385,248227.0,114852.0,373235.93127523,14394439.76669114,7382.2519853212,51076366303.4819,1208780.75198532,68372780.0203088,0.0055001627527471175,-0.1073604188692544,-0.010408409443391387,0.09701492537313539,0.0,-0.07992429335870066,0.16632700118128918,0.00025537211257220527,-0.09151877762112048,0,0,0,0,None,None,None,None,0,0,1,0,0,0,0,1,1,1,0,0.0
2015-07-18,279.33099365234375,282.5270080566406,274.07501220703125,274.9010009765625,274.9010009765625,25187100,-0.016355785675458256,-0.062139398750123864,0.016355785675458256,0.03679673850416147,-0.0871394709945853,0.030257995144386863,286.9537091936384,264.573198445638,1.0845909974233423,277.354635300994,251678.0,134042.0,378313.971156526,14398164.76669114,13370.2289053869,51076366303.4819,1138075.97890539,46998915.2330821,-0.00967665393804007,0.013902597219480617,0.16708459582767388,0.013605442176871652,0.0,0.8111314720727683,-0.058492636455207636,0.00025878047776606294,-0.3126078065112755,0,0,0,0,None,None,None,None,0,0,0,0,0,1,1,0,0,1,0,0.0
2015-07-19,274.7669982910156,275.6700134277344,272.51300048828125,273.614013671875,273.614013671875,15332500,-0.004681639208717225,-0.11983578249230109,0.004681639208717225,0.021427164938007965,-0.39125584128383184,0.011489782102978099,281.63185337611606,265.5401321411133,1.0605999594308075,275.281989479836,296139.0,117660.0,385931.03097847,14401964.76669091,5645.1495298222,51076366303.4819,1140279.14952982,37021783.6671503,-0.007472908534262301,0.17665826969381504,-0.12221542501603977,0.020134228187920877,0.0,-0.5777821329934184,0.0019358730570424587,0.0002639225249430055,-0.21228429457259024,0,0,0,0,None,None,None,None,0,0,0,0,1,0,0,0,0,1,0,1.0
